drugbank_id	entrez_gene	affinity_nM	n_pairs
DB00203	27115	78000	1
DB00203	50940	3111.75191813229	1
DB00204	3757	7.0199715099137	1
DB00204	6331	300001	1
DB00205	52	23299.1416150896	1
DB00205	1559	51500	1
DB00205	1719	27.5193932316734	1
DB00205	26191	80001	1
DB00206	1244	295000	1
DB00206	1812	3849	1
DB00206	3350	1832	1
DB00206	5243	1920.69033646161	1
DB00206	6531	10001	1
DB00206	7150	160000	1
DB00206	8647	10200	1
DB00206	9429	26302.68	1
DB00207	1576	10001	1
DB00207	23569	10000001	1
DB00208	1555	400	1
DB00208	1557	16944.0254957315	1
DB00208	5743	10001	1
DB00210	5914	1100	1
DB00210	5915	34	1
DB00210	5916	130	1
DB00212	5972	0.7	1
DB00213	1559	96332.7566303384	1
DB00213	5243	17900	1
DB00213	6580	500001	1
DB00213	6581	137000	1
DB00213	6582	1500	1
DB00213	9429	10000	1
DB00213	55244	6970.54288027645	1
DB00213	146802	146969.531536302	1
DB00215	150	10001	1
DB00215	1128	1332.68901098493	2
DB00215	3350	10001	1
DB00215	3351	10001	1
DB00215	3352	10001	1
DB00215	3356	10001	1
DB00215	3358	617	1
DB00215	3757	3981.05249988461	1
DB00215	6530	7901.66077479918	2
DB00215	6531	10001	2
DB00215	6532	2.6	3
DB00215	6580	18800	1
DB00218	3757	104945.98309541	1
DB00220	1576	692.820323027551	1
DB00220	1577	570	1
DB00220	5243	2572.77257774363	1
DB00220	9429	12500	1
DB00224	1565	30001	1
DB00224	1576	480	1
DB00224	5243	66332.827468758	1
DB00224	6580	208000	1
DB00224	6581	500001	1
DB00224	6582	142000	1
DB00224	55244	2931.56171719055	1
DB00224	146802	62450.0424339327	1
DB00227	1595	200001	1
DB00227	3065	11911	1
DB00227	3066	25933	1
DB00227	3156	0.6	3
DB00227	3683	12900	1
DB00227	5243	36543.0157889601	1
DB00227	10013	16285	1
DB00227	10599	28000	1
DB00231	706	15995580286.15	1
DB00233	759	240000	1
DB00233	760	1230000	1
DB00233	2100	9674.03154121792	1
DB00233	5770	120000	1
DB00234	150	10001	1
DB00234	3350	10001	1
DB00234	3351	10001	1
DB00234	3352	10001	1
DB00234	3356	10001	1
DB00234	3358	457	1
DB00234	6530	1.04	3
DB00234	6531	2001	3
DB00234	6532	216.979261681848	3
DB00235	5138	188697.459522523	1
DB00235	5139	2309.10067876608	1
DB00235	8654	9022.19485491197	1
DB00242	2516	549.876349736921	1
DB00242	6095	570.79155564882	1
DB00244	5743	10001	1
DB00244	23569	10000001	1
DB00244	23657	1000001	1
DB00245	1128	0.231	1
DB00245	1129	1.4	1
DB00245	1131	1.1	1
DB00245	1132	1.1	1
DB00245	3269	1.1	1
DB00245	6531	312	1
DB00245	6532	24100	1
DB00246	150	157.974465776989	1
DB00246	151	48	1
DB00246	152	67.4017803919155	1
DB00246	153	2570	1
DB00246	1128	2482.62782935686	1
DB00246	1129	2705.54985169373	1
DB00246	1131	3605.73154852105	1
DB00246	1132	1600	1
DB00246	1812	74.1413174882753	1
DB00246	1813	5.07949188866217	1
DB00246	1814	8.14325284978472	1
DB00246	1815	36.5112244205772	1
DB00246	3005	15	1
DB00246	3269	26.8767596963976	1
DB00246	3350	9.28592191172116	1
DB00246	3351	0.99	1
DB00246	3352	3.49857113690718	1
DB00246	3354	360	1
DB00246	3356	0.296024086617887	1
DB00246	3358	3.16910000514407	1
DB00246	3362	65.6024773504247	1
DB00246	3757	132.469982865529	1
DB00246	6532	230.217288664427	1
DB00247	598	22633	1
DB00247	3350	16.98	1
DB00247	3351	18.25803052389	1
DB00247	3352	9.52627944162882	1
DB00247	3354	185.247083131777	1
DB00247	3355	33.9399469651913	1
DB00247	3356	3.61564488189527	1
DB00247	3357	3.49865864739972	1
DB00247	3358	2.5681506168796	1
DB00247	3362	258.766303834174	1
DB00247	4170	20377	1
DB00247	7532	50001	1
DB00247	10280	912	1
DB00248	146	165.96	1
DB00248	147	60.26	1
DB00248	150	12.02	1
DB00248	151	72.44	1
DB00248	152	22.39	1
DB00248	153	10001	1
DB00248	1812	213.8	1
DB00248	1816	22.39	1
DB00248	3350	19.95	1
DB00248	3351	478.63	1
DB00248	3352	8.71	1
DB00248	3356	6.17	1
DB00248	3357	1.17	2
DB00248	3358	691.83	1
DB00251	1595	3000	1
DB00252	1559	7745.96669241483	1
DB00252	3757	239941.637903887	1
DB00252	6326	100001	1
DB00252	6329	24000	1
DB00252	6331	100001	1
DB00255	316	460	1
DB00255	2099	0.49	1
DB00255	2100	0.63	1
DB00255	2582	75000	1
DB00255	9429	500.499750249688	1
DB00257	554	6385.13899613782	1
DB00257	1233	1600	1
DB00257	1576	31.6227766016838	1
DB00257	1586	81.5	1
DB00257	1588	1.8	1
DB00257	1595	130	1
DB00257	3577	5546.60127922589	1
DB00257	3738	6000	1
DB00257	3757	3019.95	1
DB00257	3783	120.827612359606	1
DB00257	4190	35000	1
DB00257	5243	36283.3295054354	1
DB00257	9971	3240	1
DB00258	759	10800	1
DB00258	760	130000	1
DB00258	762	550000	1
DB00258	763	25900000	1
DB00258	768	150000001	1
DB00258	2867	120000	1
DB00259	759	26019.9511298529	1
DB00259	760	498.414146530005	1
DB00259	761	31243.3032824636	1
DB00259	762	6586.7871567032	1
DB00259	763	32000	1
DB00259	765	941	1
DB00259	766	70	1
DB00259	768	413.601426495636	1
DB00259	771	37	1
DB00259	11238	3650	1
DB00259	23632	5400	1
DB00259	377677	32	1
DB00260	206358	4400000	2
DB00261	5138	34000	1
DB00262	2936	8100	1
DB00263	1909	802.6681744961	1
DB00263	1910	24000	1
DB00264	153	55	1
DB00264	155	6916	1
DB00264	1565	24000	1
DB00264	5243	2e+05	1
DB00266	1559	1067.70782520313	1
DB00266	1728	63.877799809052	1
DB00266	2859	39	1
DB00266	9159	1300	1
DB00268	146	10001	1
DB00268	147	10001	1
DB00268	150	1862.09	1
DB00268	151	758.58	1
DB00268	152	1202.26	1
DB00268	153	10001	1
DB00268	1812	10001	1
DB00268	1813	70.5774468226218	1
DB00268	1814	26.2657571754556	1
DB00268	1816	10001	1
DB00268	3350	701.434530088162	1
DB00268	3351	10001	1
DB00268	3352	1380.38	1
DB00268	3356	10001	1
DB00268	3357	3801.89	1
DB00268	3358	10001	1
DB00268	3362	10001	1
DB00273	759	276.254621017017	1
DB00273	760	105.089266491584	1
DB00273	761	780000	1
DB00273	762	4900	1
DB00273	763	25.4	1
DB00273	765	45	1
DB00273	766	0.894929106668867	1
DB00273	768	147.827823255308	1
DB00273	771	11.9345844136535	1
DB00273	11238	64.6330407009565	1
DB00273	23632	1460	1
DB00273	377677	47	1
DB00274	6564	2.8e+07	1
DB00274	6565	4300000	1
DB00276	316	3200	1
DB00276	1565	7500	1
DB00276	3757	209.464316770184	1
DB00276	6580	5000	1
DB00276	7153	9940.00000000001	1
DB00276	8202	443.94	1
DB00276	8648	35879	1
DB00277	134	12000	1
DB00277	135	6039.24115088967	1
DB00277	136	7623.72201587029	1
DB00277	248	5001	1
DB00277	249	82000.0000000001	1
DB00277	1118	500001	1
DB00277	5138	210000	1
DB00277	9373	5001	1
DB00278	2147	14.9719016639209	1
DB00278	2159	53000	2
DB00278	5327	87800.0000000001	1
DB00278	5340	257000	1
DB00278	5644	5000	1
DB00279	367	50001	1
DB00279	5111	3600	1
DB00279	7067	0.0764095001648921	2
DB00279	7068	0.0930073043882562	2
DB00280	3757	60790.5619485621	1
DB00280	6580	90388.504246945	1
DB00280	6582	2900	1
DB00280	55244	66000	1
DB00280	146802	100001	1
DB00281	3741	2188000	1
DB00281	3757	263026.8	1
DB00281	3776	180000	1
DB00281	6331	108000	1
DB00281	55244	500001	1
DB00282	2224	149.398282803658	1
DB00282	9453	180982.319578461	1
DB00283	3172	39836	1
DB00283	5346	14700	1
DB00283	6580	4900	1
DB00283	440503	11013	1
DB00284	276	996	1
DB00284	277	996	1
DB00284	278	996	1
DB00284	2548	27771.9572989967	1
DB00285	150	6310.07820563007	1
DB00285	1128	3162.43577009874	1
DB00285	1129	5623.83500262566	1
DB00285	1131	10001	1
DB00285	1132	10001	1
DB00285	3269	10001	1
DB00285	3350	10001	1
DB00285	3351	10001	1
DB00285	3352	10001	1
DB00285	3354	10001	1
DB00285	3355	10001	1
DB00285	3356	4722.52368972354	1
DB00285	3357	10001	1
DB00285	3358	5852.32169277006	1
DB00285	3362	2792	1
DB00285	4886	1000	1
DB00285	6530	61	3
DB00285	6531	5435.81640602403	3
DB00285	6532	8.9	3
DB00286	412	60000	1
DB00286	10257	65383.4841531102	1
DB00289	150	2966.47939483827	1
DB00289	1128	1000	1
DB00289	1129	1435.27000944073	1
DB00289	1565	2000	2
DB00289	3269	2345.20787991171	1
DB00289	3350	3162.43577009874	1
DB00289	3351	1000	1
DB00289	3352	1000	1
DB00289	3356	1000	1
DB00289	3358	969.535971483266	1
DB00289	3362	1000	1
DB00289	3757	2100	1
DB00289	4886	1000	1
DB00289	4987	5001	1
DB00289	6530	2.03	2
DB00289	6531	1080	2
DB00289	6532	8.9	2
DB00291	1565	65099.9999999999	1
DB00292	1584	0.5	1
DB00292	1585	0.257128159065824	1
DB00293	1719	21000	1
DB00293	7298	1260.45251356721	1
DB00294	6462	5.9	1
DB00295	1576	50001	1
DB00295	3757	1e+06	1
DB00295	4985	262.63402271001	2
DB00295	4986	65.8989086416262	2
DB00295	4987	13.9	1
DB00295	4988	2.35594791637579	1
DB00295	5243	50001	1
DB00295	6580	28000	1
DB00295	10280	31624.5158223806	1
DB00297	3757	13000	4
DB00301	6564	3200000	1
DB00302	5340	15988.0236692873	1
DB00304	6462	251	1
DB00307	5914	1001	1
DB00307	5915	1001	1
DB00307	5916	1001	1
DB00307	6256	36.8679797337815	1
DB00307	6257	13.7540373818896	1
DB00307	6258	26.8988577284005	1
DB00308	3757	12.4804767097586	1
DB00310	759	348	1
DB00310	760	138	1
DB00310	761	11000	1
DB00310	762	196	1
DB00310	763	917	1
DB00310	765	1347	1
DB00310	766	2.8	1
DB00310	768	23	1
DB00310	771	4.5	1
DB00310	11238	9	1
DB00310	23632	4130	1
DB00311	759	14	1
DB00311	760	1.1	1
DB00311	761	327075.74314873	1
DB00311	762	161.224869073719	1
DB00311	763	25	1
DB00311	765	88.4109753746782	1
DB00311	766	0.71	1
DB00311	768	41.2385734348596	1
DB00311	771	36	1
DB00311	11238	19	1
DB00311	23632	19.858205868107	1
DB00311	377677	13	1
DB00312	2554	1e+06	1
DB00312	2562	88000	1
DB00312	3269	10001	1
DB00312	3757	1733673.92435833	1
DB00313	2152	1732050.80756888	1
DB00313	3065	39000	1
DB00313	3066	62000.0000000001	1
DB00313	7364	1600000	1
DB00313	8841	161000	1
DB00313	9734	2000001	1
DB00313	9759	2000001	1
DB00313	10013	2000001	1
DB00313	10014	2000001	1
DB00313	10327	50100	1
DB00313	23408	100001	1
DB00313	51564	2000001	1
DB00315	3350	1.8	1
DB00315	3351	1.5	1
DB00315	3352	1.5	1
DB00316	241	44000	1
DB00316	759	10000	1
DB00316	760	6200	1
DB00316	761	7100	1
DB00316	762	11400	1
DB00316	763	802000	1
DB00316	765	658000	1
DB00316	766	9100	1
DB00316	768	70700	1
DB00316	771	4100	1
